trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1396,False,"{'a': 0.5, 'e': 0.061298494247743925}",20,13,11.985652105370068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1397,False,"{'a': 0.5, 'e': 0.061176019774546467}",20,6,23.46733446142029,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1398,False,"{'a': 0.5, 'e': 0.061053790005509652}",20,8,15.607723994867868,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1399,False,"{'a': 0.5, 'e': 0.06093180445171429}",20,12,14.54173705152313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1400,False,"{'a': 0.5, 'e': 0.060810062625217952}",20,14,12.907244638772456,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1401,False,"{'a': 0.5, 'e': 0.060688564039053219}",20,12,16.818317446891754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1402,False,"{'a': 0.5, 'e': 0.060567308207225536}",25,17,18.560177830342887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1403,False,"{'a': 0.5, 'e': 0.060446294644711462}",20,14,10.736681312779384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1404,False,"{'a': 0.5, 'e': 0.060325522867456537}",20,12,13.286561800999342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1405,False,"{'a': 0.5, 'e': 0.060204992392373542}",30,10,8.10319622528458,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1406,False,"{'a': 0.5, 'e': 0.060084702737340359}",25,18,11.42256557227662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1407,False,"{'a': 0.5, 'e': 0.05996465342119827}",25,0,37.595330015925356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1408,False,"{'a': 0.5, 'e': 0.059844843963749825}",25,20,9.444225987263483,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1409,False,"{'a': 0.5, 'e': 0.059725273885756991}",20,12,13.742753084751262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1410,False,"{'a': 0.5, 'e': 0.059605942708939368}",25,12,10.40136803579609,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1411,False,"{'a': 0.5, 'e': 0.059486849955972018}",25,16,11.429941578392,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1412,False,"{'a': 0.5, 'e': 0.059367995150483847}",25,3,24.788017671044308,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1413,False,"{'a': 0.5, 'e': 0.059249377817055401}",25,14,-22.4545654923032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1414,False,"{'a': 0.5, 'e': 0.059130997481217251}",30,13,27.546149004994852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1415,False,"{'a': 0.5, 'e': 0.059012853669447841}",25,17,15.985817732168838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1416,False,"{'a': 0.5, 'e': 0.058894945909171818}",30,16,23.645935713715573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1417,False,"{'a': 0.5, 'e': 0.058777273728757934}",20,16,7.887044122025474,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1418,False,"{'a': 0.5, 'e': 0.05865983665751736}",20,10,22.62212450845125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1419,False,"{'a': 0.5, 'e': 0.058542634225701599}",30,12,-9.948552814161411,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1420,False,"{'a': 0.5, 'e': 0.058425665964500828}",25,17,-14.712374300360032,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
1421,False,"{'a': 0.5, 'e': 0.058308931406041792}",30,18,25.472178719582224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1422,False,"{'a': 0.5, 'e': 0.058192430083386149}",25,17,13.806740688187322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1423,False,"{'a': 0.5, 'e': 0.0580761615305284}",20,6,23.961171570703865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1424,False,"{'a': 0.5, 'e': 0.057960125282394234}",25,15,20.107538927226692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1425,False,"{'a': 0.5, 'e': 0.057844320874838456}",30,16,27.50624967143409,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1426,False,"{'a': 0.5, 'e': 0.057728747844643331}",25,16,18.902609517536153,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1427,False,"{'a': 0.5, 'e': 0.057613405729516523}",20,14,12.319454032859896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1428,False,"{'a': 0.5, 'e': 0.057498294068089484}",25,13,25.109104759154736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1429,False,"{'a': 0.5, 'e': 0.057383412399915353}",20,12,12.935559495622918,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1430,False,"{'a': 0.5, 'e': 0.057268760265467358}",20,13,12.918779996341506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1431,False,"{'a': 0.5, 'e': 0.05715433720613676}",25,11,25.217330421311974,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1432,False,"{'a': 0.5, 'e': 0.057040142764231215}",30,18,19.019117987835234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1433,False,"{'a': 0.5, 'e': 0.056926176482972754}",20,15,-31.373365842541784,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
1434,False,"{'a': 0.5, 'e': 0.056812437906496156}",25,8,30.604104984245527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1435,False,"{'a': 0.5, 'e': 0.056698926579846903}",20,8,18.87555603967956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1436,False,"{'a': 0.5, 'e': 0.056585642048979604}",20,11,19.6177071073067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1437,False,"{'a': 0.5, 'e': 0.056472583860755911}",20,1,23.420431417775152,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1438,False,"{'a': 0.5, 'e': 0.05635975156294299}",30,18,23.489639158009037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1439,False,"{'a': 0.5, 'e': 0.056247144704211438}",25,16,20.323026083483242,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1440,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,12,16.211360653272866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1441,False,"{'a': 0.5, 'e': 0.056022605503182173}",25,17,6.966808792928399,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
